,Kernel,Nu,Gamma,Degree,Fmeasure
116,poly,0.5,1.0,2,0.45757071547420963
117,poly,0.5,1.0,3,0.5141430948419301
118,poly,0.5,1.0,4,0.46921797004991683
119,poly,0.5,1.0,5,0.5041597337770383
120,poly,0.5,1.5,1,0.5257903494176372
121,poly,0.5,1.5,2,0.5524126455906821
122,poly,0.5,1.5,3,0.5008319467554077
123,poly,0.5,1.5,4,0.45757071547420963
124,poly,0.5,1.5,5,0.47920133111480867
125,poly,0.5,2.0,1,0.47420965058236275
126,poly,0.5,2.0,2,0.45757071547420963
127,poly,0.5,2.0,3,0.49417637271214643
128,poly,0.5,2.0,4,0.4841930116472546
129,poly,0.5,2.0,5,0.4875207986688852
130,poly,0.5,2.5,1,0.47920133111480867
131,poly,0.5,2.5,2,0.5424292845257903
132,poly,0.5,2.5,3,0.5124792013311148
133,poly,0.5,2.5,4,0.4925124792013311
134,poly,0.5,2.5,5,0.4891846921797005
135,poly,0.5,3.0,1,0.45923460898502494
136,poly,0.5,3.0,2,0.454242928452579
137,poly,0.5,3.0,3,0.47420965058236275
138,poly,0.5,3.0,4,0.4841930116472546
139,poly,0.5,3.0,5,0.4825291181364393
140,poly,0.5,3.5,1,0.4875207986688852
141,poly,0.5,3.5,2,0.45757071547420963
142,poly,0.5,3.5,3,0.502495840266223
143,poly,0.5,3.5,4,0.5008319467554077
144,poly,0.5,3.5,5,0.4908485856905158
145,poly,0.5,4.0,1,0.47587354409317806
146,poly,0.5,4.0,2,0.45757071547420963
147,poly,0.5,4.0,3,0.5141430948419301
148,poly,0.5,4.0,4,0.46921797004991683
149,poly,0.5,4.0,5,0.4925124792013311
150,poly,0.5,4.5,1,0.46422628951747086
151,poly,0.5,4.5,2,0.5374376039933444
152,poly,0.5,4.5,3,0.5058236272878536
153,poly,0.5,4.5,4,0.47587354409317806
154,poly,0.5,4.5,5,0.46755407653910147
155,poly,0.5,5.0,1,0.4442595673876872
156,poly,0.5,5.0,2,0.47753743760399336
157,poly,0.5,5.0,3,0.519134775374376
158,poly,0.5,5.0,4,0.4875207986688852
159,poly,0.5,5.0,5,0.4841930116472546
160,poly,0.5,10.0,1,0.4925124792013311
161,poly,0.5,10.0,2,0.5058236272878536
162,poly,0.5,10.0,3,0.519134775374376
163,poly,0.5,10.0,4,0.4908485856905158
164,poly,0.5,10.0,5,0.4841930116472546
165,poly,0.75,0.5,1,0.47254575707154745
166,poly,0.75,0.5,2,0.5357737104825291
167,poly,0.75,0.5,3,0.5324459234608985
168,poly,0.75,0.5,4,0.502495840266223
169,poly,0.75,0.5,5,0.5224625623960066
170,poly,0.75,1.0,1,0.5424292845257903
171,poly,0.75,1.0,2,0.5324459234608985
172,poly,0.75,1.0,3,0.5124792013311148
173,poly,0.75,1.0,4,0.5124792013311148
174,poly,0.75,1.0,5,0.5058236272878536
175,poly,0.75,1.5,1,0.5257903494176372
176,poly,0.75,1.5,2,0.5557404326123128
177,poly,0.75,1.5,3,0.5241264559068219
178,poly,0.75,1.5,4,0.49916805324459235
179,poly,0.75,1.5,5,0.5174708818635607
180,poly,0.75,2.0,1,0.4525790349417637
181,poly,0.75,2.0,2,0.5590682196339434
182,poly,0.75,2.0,3,0.519134775374376
183,poly,0.75,2.0,4,0.5041597337770383
184,poly,0.75,2.0,5,0.5058236272878536
185,poly,0.75,2.5,1,0.5391014975041597
186,poly,0.75,2.5,2,0.5440931780366056
187,poly,0.75,2.5,3,0.5158069883527454
188,poly,0.75,2.5,4,0.5041597337770383
189,poly,0.75,2.5,5,0.5158069883527454
190,poly,0.75,3.0,1,0.540765391014975
191,poly,0.75,3.0,2,0.5424292845257903
192,poly,0.75,3.0,3,0.5174708818635607
