,Solucao,ActFun,NumHiden,C,Fmeasure
30,no_re,sigmoid,40,0.4,0.5274542429284526
31,no_re,sigmoid,40,0.5,0.5207986688851913
32,no_re,sigmoid,40,0.6,0.5457570715474209
33,no_re,sigmoid,40,0.7,0.5091514143094842
34,no_re,sigmoid,40,0.8,0.540765391014975
35,no_re,sigmoid,40,0.9,0.5374376039933444
36,no_re,sigmoid,50,0.1,0.49584026622296173
37,no_re,sigmoid,50,0.2,0.49916805324459235
38,no_re,sigmoid,50,0.3,0.5091514143094842
39,no_re,sigmoid,50,0.4,0.480865224625624
40,no_re,sigmoid,50,0.5,0.5590682196339434
41,no_re,sigmoid,50,0.6,0.5291181364392679
42,no_re,sigmoid,50,0.7,0.5008319467554077
43,no_re,sigmoid,50,0.8,0.49584026622296173
44,no_re,sigmoid,50,0.9,0.5391014975041597
45,no_re,sigmoid,100,0.1,0.5174708818635607
46,no_re,sigmoid,100,0.2,0.5391014975041597
47,no_re,sigmoid,100,0.3,0.49417637271214643
48,no_re,sigmoid,100,0.4,0.4925124792013311
49,no_re,sigmoid,100,0.5,0.46422628951747086
50,no_re,sigmoid,100,0.6,0.5207986688851913
51,no_re,sigmoid,100,0.7,0.49916805324459235
52,no_re,sigmoid,100,0.8,0.47420965058236275
53,no_re,sigmoid,100,0.9,0.4891846921797005
54,no_re,relu,10,0.1,0.4875207986688852
55,no_re,relu,10,0.2,0.47920133111480867
56,no_re,relu,10,0.3,0.480865224625624
57,no_re,relu,10,0.4,0.46422628951747086
58,no_re,relu,10,0.5,0.5041597337770383
59,no_re,relu,10,0.6,0.4475873544093178
60,no_re,relu,10,0.7,0.5274542429284526
